"District","MK_Tau","MK_Z","MK_p_value","Sens_Slope","Intercept"
"Angul",38,0.694048287972819,0.487651926831611,1.46071428571429,-2839.38928571429
"Balasore",-36,-0.656532164298613,0.511481779449553,-2.78959330143541,5819.95765550239
"Bargarh",32,0.5814999169502,0.560903574193679,0.499652777777778,-959.998611111112
"Bhadrak",-16,-0.281370927556548,0.778425914188847,-1.04047619047619,2282.89047619048
"Balangir",3,0.0375227257197788,0.970068220399892,0.0322727272727272,-20.235909090909
"Boudh",74,1.36933851410854,0.170893484254114,2.07631578947368,-4097.78157894737
"Cuttack",0,0,1,-0.179166666666668,553.64166666667
"Deogarh",26,0.468951545927581,0.639104270712721,0.930627705627705,-1800.52922077922
"Dhenkanal",16,0.281370927556548,0.778425914188847,0.607142857142853,-1093.37142857142
"Gajapati",20,0.356403174904961,0.721538652049639,1.44749999999999,-2675.34749999998
"Ganjam",-8,-0.131306432859723,0.895532903167044,-0.739423076923077,1735.60096153846
"Jagatsinghpur",4,0.0562741855113097,0.955123383216192,0.58888888888889,-983.366666666669
"Jajpur",0,0,1,-0.00181818181818149,162.038181818181
"Jharsuguda",16,0.281370927556548,0.778425914188847,0.221590909090909,-393.113636363636
"Kalahandi",29,0.525410637528561,0.599297760248528,0.481733746130031,-912.238699690402
"Kandhamal",-2,-0.0187580618371032,0.98503410973661,-0.0555555555555561,265.766666666668
"Kendrapara",-2,-0.0187580618371032,0.98503410973661,-0.0611111111111108,342.705555555555
"Keonjhar",6,0.0937903091855161,0.925275729900227,0.0679425837320581,-27.9363636363649
"Khordha",-10,-0.168822556533929,0.865936215436343,-0.919901315789474,2048.28174342105
"Koraput",38,0.694170425815907,0.487575336946821,1.63666666666666,-3158.72333333333
"Malkanagiri",36,0.656532164298613,0.511481779449553,1.23409090909091,-2367.52727272727
"Mayurbhanj",-4,-0.0562741855113097,0.955123383216192,-0.283333333333325,692.199999999983
"Nawarangpur",-26,-0.468951545927581,0.639104270712721,-0.627777777777778,1350.83888888889
"Nayagarh",32,0.5814999169502,0.560903574193679,1.43214285714286,-2698.22142857142
"Nuapada",-27,-0.487795434357124,0.625694745653446,-0.566339869281046,1187.0114379085
"Puri",-8,-0.131306432859723,0.895532903167044,-0.582142857142859,1364.16785714286
"Rayagada",16,0.281370927556548,0.778425914188847,0.762499999999999,-1417.825
"Sambalpur",76,1.40685463778274,0.159470497055087,1.73333333333333,-3425.83333333333
"Subarnapur",8,0.131306432859723,0.895532903167044,0.179444444444444,-308.757222222222
"Sundargarh",8,0.131306432859723,0.895532903167044,0.220357142857143,-376.734642857143
