"Sl. No.","District","Year","Precipitation","Predicted"
1,"Angul",1995,175.7,99.8303448275856
1,"Angul",1996,61.8,100.578916256157
1,"Angul",1997,39.8,101.327487684729
1,"Angul",1998,104.4,102.0760591133
1,"Angul",1999,225.7,102.824630541871
1,"Angul",2000,25.4,103.573201970443
1,"Angul",2001,83.5,104.321773399014
1,"Angul",2002,6.7,105.070344827586
1,"Angul",2003,229.7,105.818916256157
1,"Angul",2004,102.3,106.567487684729
1,"Angul",2005,251.3,107.3160591133
1,"Angul",2006,25.5,108.064630541872
1,"Angul",2007,38.7,108.813201970443
1,"Angul",2008,20,109.561773399015
1,"Angul",2009,148.5,110.310344827586
1,"Angul",2010,82.3,111.058916256158
1,"Angul",2011,21.3,111.807487684729
1,"Angul",2012,128.7,112.556059113301
1,"Angul",2013,341.2,113.304630541872
1,"Angul",2014,96.6,114.053201970444
1,"Angul",2015,16.6,114.801773399015
1,"Angul",2016,103.2,115.550344827587
1,"Angul",2017,126,116.298916256158
1,"Angul",2018,117,117.04748768473
1,"Angul",2019,138.9,117.796059113301
1,"Angul",2020,176.1,118.544630541872
1,"Angul",2021,82.4,119.293201970444
1,"Angul",2022,94.4,120.041773399015
1,"Angul",2023,135.3,120.790344827587
2,"Balasore",1995,479.2,272.377931034481
2,"Balasore",1996,142.9,268.963497536944
2,"Balasore",1997,97.1,265.549064039407
2,"Balasore",1998,253.5,262.13463054187
2,"Balasore",1999,602.2,258.720197044334
2,"Balasore",2000,54.6,255.305763546797
2,"Balasore",2001,243.4,251.89133004926
2,"Balasore",2002,112.5,248.476896551723
2,"Balasore",2003,572.1,245.062463054186
2,"Balasore",2004,266.1,241.648029556649
2,"Balasore",2005,431.7,238.233596059113
2,"Balasore",2006,47,234.819162561575
2,"Balasore",2007,79.4,231.404729064038
2,"Balasore",2008,10.3,227.990295566502
2,"Balasore",2009,241.1,224.575862068965
2,"Balasore",2010,204.4,221.161428571428
2,"Balasore",2011,19.8,217.746995073891
2,"Balasore",2012,61.2,214.332561576354
2,"Balasore",2013,696.5,210.918128078818
2,"Balasore",2014,134.1,207.503694581281
2,"Balasore",2015,29.3,204.089261083744
2,"Balasore",2016,199.6,200.674827586207
2,"Balasore",2017,298.8,197.26039408867
2,"Balasore",2018,243.3,193.845960591133
2,"Balasore",2019,296.5,190.431527093597
2,"Balasore",2020,191.2,187.01709359606
2,"Balasore",2021,178.8,183.602660098522
2,"Balasore",2022,179.4,180.188226600986
2,"Balasore",2023,146.7,176.773793103449
3,"Bargarh",1995,116.6,54.9717241379306
3,"Bargarh",1996,14.3,54.9254679802951
3,"Bargarh",1997,27.1,54.8792118226597
3,"Bargarh",1998,134.5,54.8329556650243
3,"Bargarh",1999,20.8,54.7866995073888
3,"Bargarh",2000,2.7,54.7404433497534
3,"Bargarh",2001,23,54.694187192118
3,"Bargarh",2002,5.8,54.6479310344825
3,"Bargarh",2003,153,54.6016748768471
3,"Bargarh",2004,62.3,54.5554187192117
3,"Bargarh",2005,71.2,54.5091625615762
3,"Bargarh",2006,63.5,54.4629064039408
3,"Bargarh",2007,32.2,54.4166502463054
3,"Bargarh",2008,0.2,54.3703940886699
3,"Bargarh",2009,34.5,54.3241379310345
3,"Bargarh",2010,74.2,54.2778817733991
