"District","PBIAS"
1,-1.55479810888425e-15
2,2.5486017024208e-13
3,-2.88655167504421e-14
4,2.04024324606112e-14
5,7.67682759323374e-14
6,7.68412761473652e-13
7,-3.86680121203252e-14
8,3.2683913312163e-14
9,-2.24563613745262e-14
10,-1.93858287398977e-14
11,-6.66642587342204e-14
12,-2.55897990322843e-13
13,-1.39414522744537e-13
14,1.36028486033841e-13
15,-4.6800439945236e-14
16,-1.04023652324507e-13
17,-3.24374266006269e-13
18,-1.48049110715137e-13
19,-1.07813565397125e-13
20,3.151780753403e-13
21,3.26378964930343e-14
22,-1.30177755830184e-15
23,-2.31784704495334e-13
24,8.50168790045188e-15
25,-4.38023522226906e-13
26,-4.88212704397212e-14
27,-2.26734985343672e-13
28,2.38335152127796e-13
29,1.20758195368925e-13
30,2.15306659898736e-14
