"District","Year","Observed","Predicted"
1,1995,175.7,99.8303448275856
1,1996,61.8,100.578916256157
1,1997,39.8,101.327487684729
1,1998,104.4,102.0760591133
1,1999,225.7,102.824630541871
1,2000,25.4,103.573201970443
1,2001,83.5,104.321773399014
1,2002,6.7,105.070344827586
1,2003,229.7,105.818916256157
1,2004,102.3,106.567487684729
1,2005,251.3,107.3160591133
1,2006,25.5,108.064630541872
1,2007,38.7,108.813201970443
1,2008,20,109.561773399015
1,2009,148.5,110.310344827586
1,2010,82.3,111.058916256158
1,2011,21.3,111.807487684729
1,2012,128.7,112.556059113301
1,2013,341.2,113.304630541872
1,2014,96.6,114.053201970444
1,2015,16.6,114.801773399015
1,2016,103.2,115.550344827587
1,2017,126,116.298916256158
1,2018,117,117.04748768473
1,2019,138.9,117.796059113301
1,2020,176.1,118.544630541872
1,2021,82.4,119.293201970444
1,2022,94.4,120.041773399015
1,2023,135.3,120.790344827587
2,1995,479.2,272.377931034481
2,1996,142.9,268.963497536944
2,1997,97.1,265.549064039407
2,1998,253.5,262.13463054187
2,1999,602.2,258.720197044334
2,2000,54.6,255.305763546797
2,2001,243.4,251.89133004926
2,2002,112.5,248.476896551723
2,2003,572.1,245.062463054186
2,2004,266.1,241.648029556649
2,2005,431.7,238.233596059113
2,2006,47,234.819162561575
2,2007,79.4,231.404729064038
2,2008,10.3,227.990295566502
2,2009,241.1,224.575862068965
2,2010,204.4,221.161428571428
2,2011,19.8,217.746995073891
2,2012,61.2,214.332561576354
2,2013,696.5,210.918128078818
2,2014,134.1,207.503694581281
2,2015,29.3,204.089261083744
2,2016,199.6,200.674827586207
2,2017,298.8,197.26039408867
2,2018,243.3,193.845960591133
2,2019,296.5,190.431527093597
2,2020,191.2,187.01709359606
2,2021,178.8,183.602660098522
2,2022,179.4,180.188226600986
2,2023,146.7,176.773793103449
3,1995,116.6,54.9717241379306
3,1996,14.3,54.9254679802951
3,1997,27.1,54.8792118226597
3,1998,134.5,54.8329556650243
3,1999,20.8,54.7866995073888
3,2000,2.7,54.7404433497534
3,2001,23,54.694187192118
3,2002,5.8,54.6479310344825
3,2003,153,54.6016748768471
3,2004,62.3,54.5554187192117
3,2005,71.2,54.5091625615762
3,2006,63.5,54.4629064039408
3,2007,32.2,54.4166502463054
3,2008,0.2,54.3703940886699
3,2009,34.5,54.3241379310345
3,2010,74.2,54.2778817733991
3,2011,7.7,54.2316256157636
3,2012,90.7,54.1853694581282
3,2013,186.2,54.1391133004928
3,2014,33.4,54.0928571428573
3,2015,0.8,54.0466009852219
3,2016,56.8,54.0003448275865
3,2017,64.4,53.954088669951
3,2018,7.4,53.9078325123156
3,2019,64.5,53.8615763546802
3,2020,49.3,53.8153201970447
3,2021,57.2,53.7690640394093
3,2022,71.4,53.7228078817739
3,2023,49.7,53.6765517241384
4,1995,487.2,258.719999999998
4,1996,206.1,255.851822660097
4,1997,52.2,252.983645320196
4,1998,211.1,250.115467980294
4,1999,534.1,247.247290640393
4,2000,50.9,244.379113300492
4,2001,233.3,241.51093596059
4,2002,137,238.642758620689
4,2003,665.3,235.774581280787
4,2004,216.4,232.906403940886
4,2005,258.1,230.038226600985
4,2006,25.3,227.170049261083
4,2007,77,224.301871921182
4,2008,21.7,221.43369458128
4,2009,187.5,218.565517241379
4,2010,326.6,215.697339901478
4,2011,14.9,212.829162561577
4,2012,110.1,209.960985221675
4,2013,628.3,207.092807881774
4,2014,138.7,204.224630541872
4,2015,39.4,201.356453201971
4,2016,145.3,198.48827586207
4,2017,317.6,195.620098522169
4,2018,229.5,192.751921182267
4,2019,314.6,189.883743842365
4,2020,254.2,187.015566502464
4,2021,129.4,184.147389162563
4,2022,212.1,181.279211822662
4,2023,114.5,178.41103448276
5,1995,116.1,58.6599999999995
5,1996,17,58.4823152709355
5,1997,51.5,58.3046305418715
5,1998,105.8,58.1269458128075
5,1999,32.6,57.9492610837435
5,2000,4.5,57.7715763546794
5,2001,38.4,57.5938916256155
5,2002,14.3,57.4162068965514
5,2003,116.8,57.2385221674874
5,2004,86,57.0608374384234
5,2005,119.1,56.8831527093594
5,2006,24.1,56.7054679802955
5,2007,30.8,56.5277832512314
5,2008,6.7,56.3500985221674
5,2009,44.6,56.1724137931034
5,2010,70.1,55.9947290640394
5,2011,5.9,55.8170443349754
5,2012,67.3,55.6393596059114
5,2013,204.3,55.4616748768474
5,2014,29.2,55.2839901477834
5,2015,4.5,55.1063054187194
5,2016,78.3,54.9286206896554
5,2017,60.5,54.7509359605913
5,2018,31.4,54.5732512315274
5,2019,44.7,54.3955665024633
5,2020,77.3,54.2178817733993
5,2021,46.1,54.0401970443353
5,2022,65.5,53.8625123152713
5,2023,35.6,53.6848275862073
