"District","Slope","Intercept","Linear_Trend","p_value","tau","MK_Trend"
1,0.748571428571479,-1393.56965517252,"Increasing",0.487651926831611,38,"No Significant Trend"
2,-3.41443349753685,7084.1727586205,"Decreasing",0.511481779449553,-36,"No Significant Trend"
3,-0.046256157635433,147.252758620619,"Decreasing",0.560903574193679,32,"No Significant Trend"
4,-2.86817733990136,5980.73379310322,"Decreasing",0.778425914188847,-16,"No Significant Trend"
5,-0.177684729064007,413.141034482693,"Decreasing",0.970068220399892,3,"No Significant Trend"
6,1.83024630541879,-3597.53724137945,"Increasing",0.170893484254114,74,"No Significant Trend"
7,-0.497684729063956,1203.87965517225,"Decreasing",1,0,"No Significant Trend"
8,0.177389162561616,-267.916206896632,"Increasing",0.639104270712721,26,"No Significant Trend"
9,-0.714778325123079,1582.19310344813,"Decreasing",0.778425914188847,16,"No Significant Trend"
10,0.495073891625766,-759.520689655475,"Increasing",0.721538652049639,20,"No Significant Trend"
11,-0.815812807881666,1893.30241379289,"Decreasing",0.895532903167044,-8,"No Significant Trend"
12,-1.3804926108373,3012.2027586204,"Decreasing",0.955123383216192,4,"No Significant Trend"
13,-1.65093596059099,3514.26827586179,"Decreasing",1,0,"No Significant Trend"
14,0.228226600985267,-387.179655172505,"Increasing",0.778425914188847,16,"No Significant Trend"
15,0.640689655172465,-1212.80413793114,"Increasing",0.599297760248528,29,"No Significant Trend"
16,-0.714334975369373,1595.26448275845,"Decreasing",0.98503410973661,-2,"No Significant Trend"
17,-3.76167487684716,7827.61862068939,"Decreasing",0.98503410973661,-2,"No Significant Trend"
18,-1.40773399014777,2959.87206896549,"Decreasing",0.925275729900227,6,"No Significant Trend"
19,-2.02753694581272,4292.85275862051,"Decreasing",0.865936215436343,-10,"No Significant Trend"
20,1.43743842364535,-2750.52758620696,"Increasing",0.487575336946821,38,"No Significant Trend"
21,0.240394088669944,-358.334482758607,"Increasing",0.511481779449553,36,"No Significant Trend"
22,-1.16650246305412,2494.07586206883,"Decreasing",0.955123383216192,-4,"No Significant Trend"
23,-0.643842364532026,1386.39655172415,"Decreasing",0.639104270712721,-26,"No Significant Trend"
24,1.61600985221685,-3073.64655172434,"Increasing",0.560903574193679,32,"No Significant Trend"
25,-0.712906403940864,1489.03241379306,"Decreasing",0.625694745653446,-27,"No Significant Trend"
26,-2.24931034482747,4759.75758620667,"Decreasing",0.895532903167044,-8,"No Significant Trend"
27,-1.10512315270916,2358.29586206857,"Decreasing",0.778425914188847,16,"No Significant Trend"
28,1.40423645320205,-2745.34551724154,"Increasing",0.159470497055087,76,"No Significant Trend"
29,0.453300492610885,-845.956551724233,"Increasing",0.895532903167044,8,"No Significant Trend"
30,-0.101625615763524,283.824482758576,"Decreasing",0.895532903167044,8,"No Significant Trend"
