"District","Slope","Intercept","Trend"
1,-0.0316748768471738,175.772758620455,"Decreasing"
2,-0.171428571428424,573.293103447979,"Decreasing"
3,1.49408866995079,-2945.76896551735,"Increasing"
4,2.31862068965533,-4465.82620689686,"Increasing"
5,0.170689655172476,-282.760344827711,"Increasing"
6,0.994926108374486,-1923.02379310365,"Increasing"
7,0.101133004926319,-44.2520689659396,"Increasing"
8,4.03137931034491,-8005.30310344844,"Increasing"
9,0.760738916256347,-1381.98655172452,"Increasing"
10,-0.490197044334731,1192.40586206847,"Decreasing"
11,-1.81364532019678,3780.2341379305,"Decreasing"
12,1.24679802955689,-2361.65517241427,"Increasing"
13,0.913349753694817,-1632.94724137978,"Increasing"
14,2.71349753694588,-5386.94068965531,"Increasing"
15,-0.205467980295495,492.685172413649,"Decreasing"
16,-1.76123152709343,3696.2693103445,"Decreasing"
17,3.00551724137957,-5887.53241379363,"Increasing"
18,3.15334975369465,-6165.95551724152,"Increasing"
19,-1.44064039408839,3038.00517241324,"Decreasing"
20,2.1058128078819,-4100.38482758647,"Increasing"
21,1.91768472906414,-3775.50448275882,"Increasing"
22,3.55532019704442,-6936.26586206914,"Increasing"
23,1.55940886699515,-3003.2110344829,"Increasing"
24,-1.43807881773374,3040.77965517191,"Decreasing"
25,1.74901477832518,-3447.67758620701,"Increasing"
26,-4.12009852216719,8407.3227586201,"Decreasing"
27,0.116748768473082,-81.5034482762149,"Increasing"
28,2.5033004926109,-4966.34448275876,"Increasing"
29,0.434778325123236,-805.807586207064,"Increasing"
30,2.68334975369464,-5311.64620689666,"Increasing"
