"District","PBIAS"
1,-6.46742465513498e-14
2,3.44679433126067e-14
3,-6.73344301390143e-14
4,-1.42969934636999e-13
5,3.42135797098586e-14
6,-1.02813209251359e-13
7,9.25025259191243e-14
8,1.52046317463085e-12
9,-9.37612356910448e-15
10,-1.11885342087e-13
11,-1.37015307955759e-13
12,2.11192941669187e-13
13,4.29440907701761e-14
14,1.30324436425782e-12
15,-4.35445464062553e-14
16,-2.94101125810717e-13
17,1.24662330644122e-13
18,9.39934198428318e-13
19,-1.19304369160967e-13
20,2.55942928444151e-13
21,5.55002306792853e-13
22,5.30223876805341e-13
23,-8.05115452265674e-14
24,-2.1322581926554e-13
25,-3.45503119804045e-13
26,-3.62873626885677e-13
27,5.37913974304111e-14
28,4.90137124403936e-13
29,1.54261138229438e-13
30,-2.49025600717001e-14
