"District","Year","Observed","Predicted"
1,1995,315.9,112.581379310343
1,1996,20.7,112.549704433496
1,1997,109.1,112.518029556649
1,1998,146.9,112.486354679802
1,1999,130.4,112.454679802955
1,2000,79.8,112.423004926107
1,2001,97.6,112.39133004926
1,2002,115.5,112.359655172413
1,2003,54.7,112.327980295566
1,2004,119.1,112.296305418719
1,2005,80,112.264630541872
1,2006,130.9,112.232955665024
1,2007,105.9,112.201280788177
1,2008,71.2,112.16960591133
1,2009,51.5,112.137931034483
1,2010,124.9,112.106256157636
1,2011,147,112.074581280788
1,2012,17.4,112.042906403941
1,2013,76.7,112.011231527094
1,2014,130.6,111.979556650247
1,2015,81.3,111.9478817734
1,2016,88.8,111.916206896553
1,2017,59.4,111.884532019705
1,2018,154.5,111.852857142858
1,2019,130.9,111.821182266011
1,2020,261,111.789507389164
1,2021,170.4,111.757832512317
1,2022,66,111.72615763547
1,2023,113.9,111.694482758622
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,NA,NA
1,NA,81.3,NA
2,1995,485.9,231.293103448274
2,1996,71.6,231.121674876845
2,1997,407.9,230.950246305417
2,1998,308.9,230.778817733988
2,1999,227.3,230.60738916256
2,2000,237.7,230.435960591132
2,2001,285.9,230.264532019703
2,2002,183.6,230.093103448275
2,2003,152,229.921674876846
2,2004,118.9,229.750246305418
2,2005,221.8,229.578817733989
2,2006,163.8,229.407389162561
2,2007,116.1,229.235960591133
2,2008,124.9,229.064532019704
2,2009,179.2,228.893103448276
2,2010,203.8,228.721674876847
2,2011,144.9,228.550246305419
2,2012,109.9,228.378817733991
2,2013,246.6,228.207389162562
2,2014,292.7,228.035960591134
2,2015,148.6,227.864532019705
2,2016,249,227.693103448277
2,2017,289.8,227.521674876848
2,2018,313.2,227.35024630542
2,2019,268.6,227.178817733992
2,2020,394.1,227.007389162563
2,2021,377,226.835960591135
2,2022,83.9,226.664532019706
2,2023,230.3,226.493103448278
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
2,NA,NA,NA
